k,method,construction,worst_case,percentage,regret,regret_std,cost_ratio,cost_ratio_std,cost_diff,cost_diff_std,lol_reduced,lol_reduced_std,relative_wc_weight,relative_wc_weight_std,avg_weight_normal,avg_weight_normal_std,avg_weight_wc,avg_weight_wc_std,max_weight_normal,max_weight_normal_std,max_weight_wc,max_weight_wc_std,avg_local_wc_dist,avg_local_wc_dist_std,inv_cost_reduced,inv_cost_reduced_std,fixed_inv_cost_reduced,fixed_inv_cost_reduced_std,inv_cost_ref,fixed_inv_cost_ref,inv_ccgt,inv_solar,inv_ocgt,inv_wind,inv_wind_offshore,inv_battery,inv_electrolizer
4,kmedoids_dirac_global_fixed_wc_p0.01_2,2,global_fixed_wc,0.0001,286.68784357995065,216.81886614086247,3.8668784357995065,2.1681886614086245,1512.1267760887747,1143.6048663897184,918.3333333333334,707.536807051996,0.0,0.0,121.65449999999998,0.0,0.036500000000000005,0.0,163.9836,10.202464894818295,0.036500000000000005,0.0,0.0,0.0,319.3077334164886,28.12174024035477,62.153036215257025,8.196559448808337,324.26144987757283,64.67856102926612,0.8020722681878688,2.7083263783241915,0.0,3.4005923738660613,0.0,1.00983984345184,1.144381083646808
4,kmedoids_dirac_global_fixed_wc_p0.1_2,2,global_fixed_wc,0.001,21.048723553853133,2.9022310818185106,1.2104872355385314,0.029022310818185012,111.02088630903388,15.307734274372876,47.666666666666664,33.201405592735576,0.0,0.0,121.54499999999997,2.2469334198890888e-14,0.365,0.0,163.83599999999998,10.193281758099296,0.365,0.0,0.0,0.0,282.64612234729765,34.29250870599258,49.72021070626695,8.143557192301412,324.26144987757283,64.67856102926612,1.0253687425707725,3.236453054220282,1.1622910251041496,1.395166767768124,0.0,0.7990521813736686,1.015487225957168
4,kmedoids_dirac_global_fixed_wc_p1.0_2,2,global_fixed_wc,0.01,6.364501207658251,0.5691985576846992,1.0636450120765826,0.005691985576846978,33.569378360702935,3.002221403036626,0.0,0.0,0.0,0.0,120.45000000000005,1.4210854715202004e-14,3.65,0.0,162.3600000000001,10.101450390909214,3.65,0.0,0.0,0.0,311.1633691700827,39.16832138536917,53.0828788568638,8.869344286727264,324.26144987757283,64.67856102926612,1.0345748147001388,3.179891185036278,4.002949314681475,1.3975940362368853,0.0,0.9671497574820583,1.0091780905676473
4,kmedoids_dirac_global_fixed_wc_p5.0_2,2,global_fixed_wc,0.05,8.352054621481786,0.27840875085393463,1.0835205462148179,0.0027840875085394213,44.05267161241375,1.4684589398931363,0.0,0.0,0.0,0.0,115.5833333333333,0.0,18.25,0.0,155.79999999999993,9.693310981175513,18.25,0.0,0.0,0.0,296.8120698092548,20.28708177892709,50.64969637698649,5.164101096937589,324.26144987757283,64.67856102926612,1.3529870985331864,3.384794448037829,2.335486094037245,0.6190260134622939,0.0,0.7225015692045135,1.0836478629637034
4,kmedoids_dirac_global_fixed_wc_p20.0_2,2,global_fixed_wc,0.2,9.727660329699402,0.002326171145000802,1.0972766032969938,2.3261711450032103e-5,51.30826431129401,0.012269322724660553,0.0,0.0,0.0,0.0,97.33333333333333,2.2469334198890888e-14,73.0,0.0,131.20000000000002,8.162788194674125,73.0,0.0,0.0,0.0,277.4530409429044,2.2085658419017213,48.12751443080049,0.22843518195243734,324.26144987757283,64.67856102926612,1.6237283117032162,3.3790928443971016,0.5213205994285472,0.0,0.0,0.5974976200819688,1.2152991440484286
6,kmedoids_dirac_global_fixed_wc_p0.01_2,2,global_fixed_wc,0.0001,213.26106940208433,52.73113671484262,3.1326106940208427,0.5273113671484263,1124.8393699340324,278.1288622650468,486.6666666666667,112.22447742508464,0.0,0.0,72.99269999999999,1.0048591735576161e-14,0.036500000000000005,0.0,130.43139999999997,7.726044496377161,0.036500000000000005,0.0,0.0,0.0,315.25855670293555,17.192093636391913,60.38848806220732,4.733236210280705,324.26144987757283,64.67856102926612,0.8556588440537611,2.9049287161730803,0.0,3.05849362367211,0.0,0.9898753014728472,1.0766516871423444
6,kmedoids_dirac_global_fixed_wc_p0.1_2,2,global_fixed_wc,0.001,39.86652862089292,9.20822261220296,1.398665286208929,0.09208222612202964,210.27485729631246,48.56850502701951,57.666666666666664,12.42309676905615,0.0,0.0,72.927,1.0048591735576161e-14,0.365,0.0,130.31399999999996,7.719090360916895,0.365,0.0,0.0,0.0,270.1397669639129,14.680427257523728,46.77262449643624,3.527571776318429,324.26144987757283,64.67856102926612,1.0863017711162388,3.403501593015294,0.6159802967594504,0.9653046866453762,0.0,0.9796145266986188,1.007712505144369
6,kmedoids_dirac_global_fixed_wc_p1.0_2,2,global_fixed_wc,0.01,6.758433076699041,0.48953244708989085,1.0675843307669903,0.004895324470898841,35.647160661106454,2.5820247966058254,0.0,0.0,0.0,0.0,72.27000000000002,1.0048591735576161e-14,3.65,0.0,129.14000000000004,7.649549006314049,3.65,0.0,0.0,0.0,285.2596220356225,28.468528358909015,46.959083374630495,6.37166710173649,324.26144987757283,64.67856102926612,1.1695656251901179,3.4691918266304307,2.997986218760449,0.5100335097018325,0.0,0.9987050297989178,1.0086287767329694
6,kmedoids_dirac_global_fixed_wc_p5.0_2,2,global_fixed_wc,0.05,8.671778084770013,0.029333886791375677,1.0867177808477002,0.0002933388679137702,45.73904381342803,0.15472074124282134,0.0,0.0,0.0,0.0,69.35000000000002,1.0048591735576161e-14,18.25,0.0,123.92222222222222,7.340476319190241,18.25,0.0,0.0,0.0,276.25665605146963,1.6669736493988343,45.229885623651604,0.14164386302030949,324.26144987757283,64.67856102926612,1.3687188452074412,3.5349313489235636,2.233334204636886,0.0,0.0,0.5428571428571429,1.097118803908307
6,kmedoids_dirac_global_fixed_wc_p20.0_2,2,global_fixed_wc,0.2,9.729381673391877,0.003449836640999833,1.097293816733919,3.449836641003191e-5,51.31734348903569,0.0181960640285488,0.0,0.0,0.0,0.0,58.399999999999984,1.1234667099445444e-14,73.0,0.0,104.35555555555555,6.18145374247598,73.0,0.0,0.0,0.0,277.43143162658794,3.0989114986123454,48.123909088993535,0.32466808339983905,324.26144987757283,64.67856102926612,1.6235990116828802,3.378791868988736,0.521810005655451,0.0,0.0,0.5985400723300524,1.2148100694803172
