k,seed,construction,method,worst_case,reduced_cost,cost_ratio,cost_diff,regret,lol_reduced,lol_full,relative_wc_weight,percentage,avg_weight_normal,avg_weight_wc,max_weight_normal,max_weight_wc,avg_local_wc_dist,inv_cost_reduced,fixed_inv_cost_reduced,inv_cost_ref,fixed_inv_cost_ref,inv_ccgt,inv_solar,inv_ocgt,inv_wind,inv_wind_offshore,inv_battery,inv_electrolizer,clustering_time
4,1,2,kmedoids_dirac_no_wc_2,no_wc,1368.9134487456336,2.595356757609845,841.4663281400202,159.5356757609845,298,14,0.0,0.0,91.25,0.0,132.66666666666666,0.0,0.0,297.8958736310952,52.12667521993384,324.26144987757283,64.67856102926612,0.9265673446040542,3.0156103088188013,0.0,1.947118140372498,0.21307359906524756,1.0526315789473684,1.0415318812634933,0.1231779
4,2,2,kmedoids_dirac_no_wc_2,no_wc,1255.1696035191646,2.379706997126048,727.7224829135513,137.9706997126048,241,14,0.0,0.0,91.25,0.0,137.33333333333334,0.0,0.0,330.7033549836971,63.65661828435889,324.26144987757283,64.67856102926612,0.8644922276432453,2.666199886224688,0.0,3.3942786003696446,0.08965534969311907,1.570121023717642,1.0437616123332838,0.2136566
4,3,2,kmedoids_dirac_no_wc_2,no_wc,1499.5510046076229,2.843035720596678,972.1038840020095,184.3035720596678,396,14,0.0,0.0,91.25,0.0,165.66666666666666,0.0,0.0,283.40107034826093,51.31263255484304,324.26144987757283,64.67856102926612,0.9466086106435897,3.2677587750221435,0.0,1.8113234736439454,0.0,1.1147374749762535,1.069276314702258,0.1327099
4,4,2,kmedoids_dirac_no_wc_2,no_wc,1731.0499232989052,3.281940228076927,1203.6028026932918,228.19402280769273,537,14,0.0,0.0,91.25,0.0,132.66666666666666,0.0,0.0,285.4497815255974,52.31214663046742,324.26144987757283,64.67856102926612,0.9090976734681343,3.1417871771394945,0.0,2.0313190835007604,0.0,1.0526315789473684,1.0997593540002661,0.1264494
4,5,2,kmedoids_dirac_no_wc_2,no_wc,2084.763878207438,3.952555235894961,1557.316757601825,295.25552358949614,714,14,0.0,0.0,91.25,0.0,143.0,0.0,0.0,283.275723890704,51.77704176259349,324.26144987757283,64.67856102926612,0.8935007139459912,3.1284462947670115,0.0,2.0263404685043547,0.0,0.7600000000000001,1.1200546019688322,0.1472869
6,1,2,kmedoids_dirac_no_wc_2,no_wc,1395.3357840547205,2.6454515145567576,867.8886634491072,164.54515145567575,404,14,0.0,0.0,60.833333333333336,0.0,114.66666666666667,0.0,0.0,333.5886474682119,65.37523396211643,324.26144987757283,64.67856102926612,0.8392797462273345,2.7539770053730113,0.0,3.6544466515163823,0.0,1.0162951137267646,1.0709174854523695,0.2028086
6,2,2,kmedoids_dirac_no_wc_2,no_wc,1240.0773084693656,2.3510931428453192,712.6301878637522,135.1093142845319,712,14,0.0,0.0,60.833333333333336,0.0,99.0,0.0,0.0,345.0584803782388,68.13235166011316,324.26144987757283,64.67856102926612,0.7755187736133154,2.7177913750668727,0.0,4.054682341642304,0.0,0.9522734826501211,1.1874810751814076,0.2119096
6,3,2,kmedoids_dirac_no_wc_2,no_wc,1284.4831596310921,2.4352832908752107,757.0360390254788,143.52832908752106,483,14,0.0,0.0,60.833333333333336,0.0,122.66666666666667,0.0,0.0,331.1601657346017,64.59998069830058,324.26144987757283,64.67856102926612,0.8262696767755022,2.788268629835661,0.0,3.580693613482581,0.0,0.9657140975789587,1.1209411388512946,0.3764292
6,4,2,kmedoids_dirac_no_wc_2,no_wc,815.5494827270115,1.5462203714196028,288.1023621213982,54.62203714196029,293,14,0.0,0.0,60.833333333333336,0.0,114.66666666666667,0.0,0.0,303.77147429482795,57.6842050265544,324.26144987757283,64.67856102926612,0.9118099941543576,2.894615950731539,0.0,2.6560921458435276,0.0,1.096049474192017,1.1142019500530012,0.2102237
6,5,2,kmedoids_dirac_no_wc_2,no_wc,1875.3642943296077,3.5555494021397243,1347.9171737239944,255.55494021397246,965,14,0.0,0.0,60.833333333333336,0.0,110.0,0.0,0.0,332.9787165222949,65.46926837599197,324.26144987757283,64.67856102926612,0.7668257066142633,2.6690494748899525,0.0,3.8372755098337112,0.0,0.7195926332334928,1.1669599598650016,0.133962
8,1,2,kmedoids_dirac_no_wc_2,no_wc,743.2407824147891,1.4091285237492663,215.79366180917577,40.91285237492662,546,14,0.0,0.0,45.625,0.0,81.0,0.0,0.0,333.1579906271994,65.58549899724609,324.26144987757283,64.67856102926612,0.8099039238079785,2.6299476778355833,0.0,3.7512193333587076,0.0,0.7817343165311708,1.250683725350818,0.1583859
8,2,2,kmedoids_dirac_no_wc_2,no_wc,1523.5767551597648,2.8885867334158504,996.1296345541515,188.85867334158505,389,14,0.0,0.0,45.625,0.0,82.0,0.0,0.0,299.0222822143315,57.135192587076155,324.26144987757283,64.67856102926612,0.888337133577947,2.7783759661047585,0.0,2.6992770528190504,0.0,1.1253781552976063,1.0660983149768242,0.1189096
8,3,2,kmedoids_dirac_no_wc_2,no_wc,695.0697191944962,1.317799817347413,167.62259858888285,31.779981734741302,376,14,0.0,0.0,45.625,0.0,84.66666666666667,0.0,0.0,325.7604911880471,62.93819728476495,324.26144987757283,64.67856102926612,0.8632296797982336,2.8586437683224903,0.0,3.3073505300489034,0.0,0.8568358153821115,1.1619550067639957,0.1167222
8,4,2,kmedoids_dirac_no_wc_2,no_wc,1728.783042791383,3.277642393433486,1201.3359221857695,227.76423934334855,760,14,0.0,0.0,45.625,0.0,94.0,0.0,0.0,329.8591631208907,65.6557925395658,324.26144987757283,64.67856102926612,0.7739937116616116,2.488580080592069,0.0,3.871997140738623,0.0,1.3126920843538838,1.1579240654281717,0.1273869
